"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"POLR2A",1.32539003331134e-08,0.255435284757276,0.59,0.382,0.000444509309371958,"stromal_3_patient3","POLR2A"
"BCKDK1",1.49486054959318e-08,0.27931280986661,0.494,0.302,0.000501346331122559,"stromal_3_patient3","BCKDK"
"LUC7L",1.51360919807773e-08,0.314161888038335,0.494,0.3,0.00050763425285131,"stromal_3_patient3","LUC7L"
"C1orf21",1.55544468201164e-08,0.254636283096265,0.416,0.231,0.000521665037453063,"stromal_3_patient3","C1orf21"
"PPIE1",1.64589675956875e-08,0.303628522540313,0.438,0.26,0.000552000855224167,"stromal_3_patient3","PPIE"
"ZSCAN18",1.65185874769625e-08,0.299110387455252,0.421,0.241,0.000554000386802369,"stromal_3_patient3","ZSCAN18"
"UBE2I",1.66043109164333e-08,0.327016376847693,0.685,0.494,0.00055687537951534,"stromal_3_patient3","UBE2I"
"CDC341",1.82714526598397e-08,0.263275404132674,0.444,0.256,0.000612787979305705,"stromal_3_patient3","CDC34"
"NCOR21",1.85630475414162e-08,0.274146524588005,0.708,0.487,0.000622567488444015,"stromal_3_patient3","NCOR2"
"SHISA5",1.88480103598337e-08,0.269497267793127,0.803,0.581,0.000632124571448103,"stromal_3_patient3","SHISA5"
"ASNA11",1.90503821360415e-08,0.308460252904933,0.517,0.327,0.000638911716078559,"stromal_3_patient3","ASNA1"
"TBL1XR1",1.92862552426769e-08,0.250425884644543,0.635,0.416,0.000646822428328897,"stromal_3_patient3","TBL1XR1"
"LRRC41",1.9321912656653e-08,0.286396509243982,0.506,0.317,0.000648018306678829,"stromal_3_patient3","LRRC41"
"N4BP2L2",1.96905803811988e-08,0.284673600688607,0.657,0.429,0.000660382684824646,"stromal_3_patient3","N4BP2L2"
"ANKRD111",2.0339189659148e-08,0.261265356642976,0.545,0.336,0.000682135742788507,"stromal_3_patient3","ANKRD11"
"SNX5",2.09899039823681e-08,0.315931736107665,0.584,0.391,0.000703959399760661,"stromal_3_patient3","SNX5"
"MYO15B",2.10638439301063e-08,0.274717021459363,0.281,0.137,0.000706439197727906,"stromal_3_patient3","MYO15B"
"DYRK1B",2.11229437109512e-08,0.27566435989414,0.32,0.167,0.000708421286177882,"stromal_3_patient3","DYRK1B"
"AIP1",2.20332086375762e-08,0.306959117378925,0.528,0.338,0.000738949751287031,"stromal_3_patient3","AIP"
"MIIP1",2.27496356601257e-08,0.259332471978271,0.393,0.221,0.000762977280769297,"stromal_3_patient3","MIIP"
"PRRC2B",2.30863297082716e-08,0.281249428426472,0.669,0.453,0.000774269325756012,"stromal_3_patient3","PRRC2B"
"CAMK2D",2.35682649992378e-08,0.260663920859054,0.309,0.16,0.000790432471544439,"stromal_3_patient3","CAMK2D"
"TCF251",2.39462993831849e-08,0.252694536165652,0.702,0.487,0.000803110988713254,"stromal_3_patient3","TCF25"
"PAXBP1",2.51416185536917e-08,0.284150117900928,0.281,0.139,0.000843199603053712,"stromal_3_patient3","PAXBP1"
"SHC1",2.59622010766078e-08,0.306738035050658,0.624,0.418,0.000870720299707273,"stromal_3_patient3","SHC1"
"DDR21",2.64598284995499e-08,0.270732634141153,0.511,0.311,0.000887409728217905,"stromal_3_patient3","DDR2"
"RBM23",2.7611425627547e-08,0.269848501778049,0.483,0.296,0.000926031992696671,"stromal_3_patient3","RBM23"
"HDAC1",2.77819841482702e-08,0.263775452109152,0.489,0.294,0.000931752184364685,"stromal_3_patient3","HDAC1"
"PLTP",2.97005299330994e-08,0.272625069905986,0.91,0.723,0.000996096372896288,"stromal_3_patient3","PLTP"
"DNM2",3.0559106132466e-08,0.294790814662299,0.618,0.419,0.00102489130147065,"stromal_3_patient3","DNM2"
"PLEKHG31",3.10383828326679e-08,0.264698205054504,0.343,0.178,0.00104096528344202,"stromal_3_patient3","PLEKHG3"
"CPSF1",3.38780954488993e-08,0.289823793957458,0.483,0.303,0.00113620356516518,"stromal_3_patient3","CPSF1"
"SNHG91",3.39026134113535e-08,0.251489348470616,0.478,0.284,0.00113702584858997,"stromal_3_patient3","SNHG9"
"ZFP36L11",3.4257398215665e-08,0.283639658298208,0.966,0.79,0.00114892462135697,"stromal_3_patient3","ZFP36L1"
"UBE2M1",3.45636318022674e-08,0.304069765984288,0.59,0.399,0.00115919508338445,"stromal_3_patient3","UBE2M"
"SELENOW1",3.5161144824645e-08,0.261355171324676,0.871,0.726,0.00117923447512894,"stromal_3_patient3","SELENOW"
"D2HGDH1",3.61845505054678e-08,0.279843273661548,0.416,0.237,0.00121355745485238,"stromal_3_patient3","D2HGDH"
"DHRS4L21",3.63040557388891e-08,0.263667745462371,0.41,0.237,0.00121756542137086,"stromal_3_patient3","DHRS4L2"
"UBTF1",3.65596530064397e-08,0.285224857077163,0.567,0.361,0.00122613764252997,"stromal_3_patient3","UBTF"
"EFS1",3.6732191669706e-08,0.260225676228577,0.292,0.145,0.0012319242442186,"stromal_3_patient3","EFS"
"TCEA21",3.83265089094688e-08,0.261958960902909,0.511,0.305,0.00128539445580577,"stromal_3_patient3","TCEA2"
"APP1",3.85619300190037e-08,0.295003686009754,0.803,0.58,0.00129329000897735,"stromal_3_patient3","APP"
"FAM89B1",3.95717967863677e-08,0.262853080095278,0.573,0.376,0.0013271589206212,"stromal_3_patient3","FAM89B"
"PRMT21",4.29618477929262e-08,0.26853951632641,0.601,0.399,0.00144085445127916,"stromal_3_patient3","PRMT2"
"DAP",4.44530845138392e-08,0.363219150850738,0.64,0.449,0.00149086754842514,"stromal_3_patient3","DAP"
"ZNHIT1",4.45400783092587e-08,0.303138327132723,0.702,0.504,0.00149378514633592,"stromal_3_patient3","ZNHIT1"
