"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MS4A6A",0,1.12250891925726,0.614,0.173,0,"1","MS4A6A"
"NR1H3",0,1.11823788827137,0.551,0.159,0,"1","NR1H3"
"CTSC",0,1.11102925905866,0.717,0.362,0,"1","CTSC"
"FGR",0,1.10900500622836,0.45,0.05,0,"1","FGR"
"CEBPA",0,1.10211335079882,0.537,0.139,0,"1","CEBPA"
"OLR1",0,1.09980891434469,0.399,0.047,0,"1","OLR1"
"CTSA",0,1.09610180998656,0.8,0.53,0,"1","CTSA"
"S100A11",0,1.09133013985346,0.96,0.902,0,"1","S100A11"
"CCL2",0,1.08370560929372,0.556,0.209,0,"1","CCL2"
"HEXA",0,1.083135695264,0.735,0.452,0,"1","HEXA"
"FCGR2A",0,1.08125400577612,0.606,0.175,0,"1","FCGR2A"
"SIRPA",0,1.07864579849062,0.574,0.179,0,"1","SIRPA"
"MARCO",0,1.06691834334643,0.414,0.052,0,"1","MARCO"
"CD37",0,1.06555077380935,0.55,0.112,0,"1","CD37"
"IGHG4",0,1.06402848279765,0.777,0.391,0,"1","IGHG4"
"LHFPL2",0,1.0521526911841,0.552,0.148,0,"1","LHFPL2"
"HMOX1",0,1.04757752902124,0.534,0.127,0,"1","HMOX1"
"MGAT1",0,1.04106780836895,0.767,0.477,0,"1","MGAT1"
"MTRNR2L8",0,1.03466918145272,0.365,0.039,0,"1","MTRNR2L8"
"MFSD1",0,1.0319091493257,0.624,0.251,0,"1","MFSD1"
"FUCA1",0,1.02783438604737,0.602,0.243,0,"1","FUCA1"
"SLCO2B1",0,1.02433006423289,0.61,0.191,0,"1","SLCO2B1"
"ARHGDIB",0,1.0201938657572,0.734,0.393,0,"1","ARHGDIB"
"NPC2",0,1.01656946957153,0.917,0.797,0,"1","NPC2"
"SOAT1",0,1.0157066836872,0.541,0.2,0,"1","SOAT1"
"NCF1",0,1.00770170772072,0.575,0.139,0,"1","NCF1"
"IFI27",0,1.00644851378317,0.929,0.743,0,"1","IFI27"
"IGHG3",0,1.00587218141772,0.921,0.494,0,"1","IGHG3"
"CREG1",0,1.00535224487111,0.766,0.489,0,"1","CREG1"
"MAFB",0,0.997346227576134,0.624,0.226,0,"1","MAFB"
"GNS",0,0.992557210183441,0.728,0.441,0,"1","GNS"
"PLA2G7",0,0.991328081586139,0.461,0.07,0,"1","PLA2G7"
"CD83",0,0.981596995928203,0.478,0.109,0,"1","CD83"
"PECAM1",0,0.981004483940722,0.627,0.221,0,"1","PECAM1"
"RNF130",0,0.980274333913342,0.678,0.393,0,"1","RNF130"
"MS4A4A",0,0.97842366072166,0.504,0.095,0,"1","MS4A4A"
"A2M",0,0.976566961688195,0.894,0.646,0,"1","A2M"
"FERMT3",0,0.973285340688899,0.519,0.117,0,"1","FERMT3"
"SLC11A1",0,0.970469218476173,0.423,0.064,0,"1","SLC11A1"
"HCST",0,0.969845075398403,0.571,0.186,0,"1","HCST"
"OAZ1",0,0.965909095130242,0.938,0.838,0,"1","OAZ1"
"GLUL",0,0.962541998160094,0.868,0.694,0,"1","GLUL"
"NCF2",0,0.959890687149297,0.426,0.049,0,"1","NCF2"
"COTL1",0,0.95696325649991,0.666,0.341,0,"1","COTL1"
"MS4A7",0,0.956477222081565,0.532,0.125,0,"1","MS4A7"
"HAMP",0,0.955162155040184,0.372,0.03,0,"1","HAMP"
"PRDX1",0,0.953080010855033,0.893,0.75,0,"1","PRDX1"
"RASSF4",0,0.942013747898519,0.546,0.151,0,"1","RASSF4"
"S100A8",0,0.930593596552636,0.439,0.081,0,"1","S100A8"
"CD4",0,0.923313721019515,0.553,0.145,0,"1","CD4"
"ATP6V1B2",0,0.920700889530266,0.571,0.234,0,"1","ATP6V1B2"
"AKR1B1",0,0.916588560203324,0.704,0.403,0,"1","AKR1B1"
"TGFBI",0,0.915012440430273,0.659,0.297,0,"1","TGFBI"
"IGHM",0,0.90948359156708,0.792,0.272,0,"1","IGHM"
"ALOX5AP",0,0.907737541190454,0.43,0.095,0,"1","ALOX5AP"
"EMP3",0,0.90670440604164,0.725,0.384,0,"1","EMP3"
"IGLC3",0,0.90616586411376,0.836,0.274,0,"1","IGLC3"
"RMDN3",0,0.899320194781058,0.459,0.164,0,"1","RMDN3"
"HAVCR2",0,0.896596513310041,0.444,0.064,0,"1","HAVCR2"
"ZNF385A",0,0.895687871014863,0.445,0.096,0,"1","ZNF385A"
"SLC16A3",0,0.894134869462533,0.536,0.202,0,"1","SLC16A3"
"SLC7A7",0,0.888132795990232,0.469,0.094,0,"1","SLC7A7"
"CPVL",0,0.886987336543616,0.633,0.308,0,"1","CPVL"
"PLEK",0,0.885024690828938,0.461,0.082,0,"1","PLEK"
"HCK",0,0.883845790278337,0.453,0.076,0,"1","HCK"
"KCNAB2",0,0.876865906699022,0.472,0.101,0,"1","KCNAB2"
"HLA-E",0,0.871543880561942,0.944,0.77,0,"1","HLA-E"
"SAT1",0,0.871255945058781,0.918,0.772,0,"1","SAT1"
"ADAM8",0,0.865077432153191,0.437,0.118,0,"1","ADAM8"
"CD84",0,0.863952292368829,0.459,0.066,0,"1","CD84"
"PIK3AP1",0,0.863912025866765,0.436,0.084,0,"1","PIK3AP1"
"SNX10",0,0.85319727130869,0.426,0.077,0,"1","SNX10"
"CD36",0,0.851073798806929,0.373,0.051,0,"1","CD36"
"SDS",0,0.847116351984474,0.394,0.047,0,"1","SDS"
"DAB2",0,0.847022820589968,0.582,0.216,0,"1","DAB2"
"HLA-F",0,0.843159354670699,0.651,0.289,0,"1","HLA-F"
"C2",0,0.841294777101066,0.612,0.256,0,"1","C2"
"FPR3",0,0.838805708095805,0.446,0.066,0,"1","FPR3"
"LY86",0,0.831886566392306,0.421,0.059,0,"1","LY86"
"CSF1R",0,0.83011630145485,0.584,0.217,0,"1","CSF1R"
"CD48",0,0.828656991623335,0.446,0.072,0,"1","CD48"
"IL4I1",0,0.820619200887709,0.485,0.177,0,"1","IL4I1"
"ARRB2",0,0.817029487902422,0.54,0.193,0,"1","ARRB2"
"PTPRC",0,0.816361610359496,0.511,0.116,0,"1","PTPRC"
"CYBA",0,0.806107574396294,0.915,0.744,0,"1","CYBA"
"PILRA",0,0.804937525857314,0.443,0.086,0,"1","PILRA"
"TCN2",0,0.802346848148505,0.513,0.161,0,"1","TCN2"
"TMSB4X",0,0.79502101406425,1,0.986,0,"1","TMSB4X"
"PLBD1",0,0.794625307473924,0.438,0.143,0,"1","PLBD1"
"ADAMDEC1",0,0.794361816538018,0.391,0.049,0,"1","ADAMDEC1"
"IL10RA",0,0.791710333174808,0.486,0.111,0,"1","IL10RA"
"CST3",0,0.787120873504881,0.964,0.908,0,"1","CST3"
"ABCG1",0,0.785082501548611,0.453,0.135,0,"1","ABCG1"
"CPM",0,0.783659697557827,0.434,0.099,0,"1","CPM"
"CD63",0,0.782041327146921,0.978,0.946,0,"1","CD63"
"C5AR1",0,0.781333874169141,0.409,0.075,0,"1","C5AR1"
"RAC2",0,0.779884903388201,0.474,0.137,0,"1","RAC2"
"EMILIN2",0,0.778486559308916,0.495,0.175,0,"1","EMILIN2"
"NCKAP1L",0,0.771959443225204,0.433,0.073,0,"1","NCKAP1L"
"SLC29A3",0,0.770586812733517,0.436,0.132,0,"1","SLC29A3"
"UPP1",0,0.770574875294022,0.432,0.135,0,"1","UPP1"
"C1orf162",0,0.767991309699935,0.431,0.098,0,"1","C1orf162"
"SLC43A3",0,0.766027512547283,0.468,0.162,0,"1","SLC43A3"
"GLRX",0,0.751868504104646,0.439,0.107,0,"1","GLRX"
"SMIM25",0,0.751682797599529,0.342,0.047,0,"1","SMIM25"
"PLEKHO2",0,0.745565268410863,0.503,0.179,0,"1","PLEKHO2"
"C3AR1",0,0.739162906061399,0.432,0.084,0,"1","C3AR1"
"ITGAM",0,0.737890445293255,0.383,0.057,0,"1","ITGAM"
"AQP9",0,0.727858986365405,0.335,0.048,0,"1","AQP9"
"SLA",0,0.726654977695705,0.384,0.056,0,"1","SLA"
"IGSF6",0,0.725780725383477,0.39,0.057,0,"1","IGSF6"
"IFI30",0,0.721963771613479,0.358,0.037,0,"1","IFI30"
"SLAMF8",0,0.72092653822691,0.397,0.055,0,"1","SLAMF8"
"WIPF1",0,0.718002966875583,0.533,0.194,0,"1","WIPF1"
"EVI2B",0,0.70883428831146,0.412,0.074,0,"1","EVI2B"
"MPEG1",0,0.703477167445213,0.454,0.126,0,"1","MPEG1"
"CA2",0,0.701386574687059,0.314,0.038,0,"1","CA2"
"CCR1",0,0.696258668200765,0.37,0.048,0,"1","CCR1"
"LST1",0,0.692885854542437,0.449,0.112,0,"1","LST1"
"MYO1F",0,0.669976011217824,0.419,0.092,0,"1","MYO1F"
"CCL4",0,0.668200045096781,0.383,0.097,0,"1","CCL4"
"ACSL1",0,0.666319384326759,0.428,0.134,0,"1","ACSL1"
"SPN",0,0.665559792845077,0.337,0.042,0,"1","SPN"
"IRF8",0,0.663453657482794,0.415,0.081,0,"1","IRF8"
"LY96",0,0.65729058374427,0.428,0.115,0,"1","LY96"
